,@ in URLs,Attachments,Css,Encoding,External Resources,Flash content,HTML content,Html Form,Html iFrame,IPs in URLs,Javascript,Phishy,URLs,SFH,popUpWidnow,SSLfinal_State,Request_URL,URL_of_Anchor,web_traffic,URL_Length,age_of_domain,having_IP_Address,Result
0,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,0,1,1,1,1
1,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,0,-1,0,-1,1,0,1
2,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,0,0,-1,1,0,1
3,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,-1,1,0,-1,0,1
4,FALSE,0,0,quoted-printable,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,1,1,0,-1,0,1
5,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,-1,1,-1,-1,0,1
6,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,1,0,1,1,0,1
7,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,1,-1,0,-1,1,0,1
8,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,-1,0,0,1,1,-1,1,1
9,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,0,-1,1,-1,-1,0,1
10,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,1,1,0,-1,0,1
11,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,1,0,0,-1,1,0,1
12,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,1,-1,-1,1,-1,1,0,1
13,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,0,1,1,-1,-1,0,1
14,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,1,0,0,1,-1,-1,0,1
15,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,-1,0,1,0,1
16,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,0,0,-1,-1,0,0,-1,0,1
17,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,-1,-1,1,0,-1,0,1
18,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,-1,1,-1,-1,0,1
19,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,1,1,0,-1,0,1
20,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,0,-1,0,1,1,0,1
21,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,-1,0,-1,-1,0,1
22,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,0,-1,1,0,1
23,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,1,0,0,-1,1,0,1
24,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,1,-1,1,0,-1,0,1
25,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,0,-1,1,0,-1,0,1
26,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,1,0,0,-1,0,1
27,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,-1,0,0,1,0,1
28,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,1,0,1,-1,1,1
29,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,1,-1,1,-1,1,0,1
30,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,1,1,0,-1,-1,0,1
31,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,1,-1,-1,0,-1,-1,0,1
32,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,1,-1,-1,-1,-1,1,0,1
33,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,0,1,1,0,-1,0,1
34,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,1,-1,-1,0,1
