,@ in URLs,Attachments,Css,Encoding,External Resources,Flash content,HTML content,Html Form,Html iFrame,IPs in URLs,Javascript,Phishy,URLs,SFH,popUpWidnow,SSLfinal_State,Request_URL,URL_of_Anchor,web_traffic,URL_Length,age_of_domain,having_IP_Address,Result
0,FALSE,0,0,none,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,TRUE,2,1,-1,0,1,-1,0,0,1,0,-1
1,FALSE,0,0,7bit,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,2,1,0,1,1,0,0,0,1,1,-1
2,FALSE,0,0,7bit,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,2,1,0,1,1,1,-1,1,1,0,-1
3,FALSE,0,0,8bit,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,TRUE,3,1,0,1,0,-1,1,0,-1,0,-1
4,FALSE,0,0,8bit,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,TRUE,3,1,1,1,-1,1,-1,1,1,0,-1
5,FALSE,0,0,none,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,3,1,0,-1,-1,1,1,-1,-1,0,-1
6,FALSE,0,0,7bit,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,2,1,-1,0,-1,1,-1,0,1,0,-1
7,FALSE,0,1,8bit,1,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,6,1,0,1,0,-1,0,0,1,0,-1
8,FALSE,0,0,8bit,0,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE,14,1,0,-1,0,-1,1,-1,-1,0,-1
9,FALSE,0,0,none,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,TRUE,2,-1,-1,0,-1,1,-1,0,1,0,-1
10,FALSE,0,0,7bit,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,13,0,0,1,1,1,0,0,1,0,-1
11,FALSE,0,0,7bit,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,TRUE,4,1,0,-1,1,1,0,0,-1,0,-1
12,FALSE,0,0,7bit,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,15,1,0,1,0,-1,-1,0,1,0,-1
13,FALSE,0,1,7bit,1,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE,24,1,1,0,-1,1,1,0,-1,0,-1
